"filename", "language", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/Views/SignUp.tsx", "TypeScript JSX", 103, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 117
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/assets/luckypawslogo.svg", "XML", 0, 15772, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15774
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/assets/paw.svg", "XML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 1, 29
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/lib/apiWrapper.ts", "TypeScript", 0, 0, 554, 0, 0, 0, 0, 0, 0, 22, 57, 633
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/main.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/types/index.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 1, 37
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 3, 26
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/jeffchebul/Documents/kekambas_142/week10/LuckyPaws_Capstone/LuckyPaws-ClientPortal/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 2083, 15799, 636, 3, 21, 4609, 59, 22, 15, 153, 333, 23733
